Gene Symbol,"Expression (tpm)
NKX6.1+ progenitors
(from Stage 5, v8)","Expression (tpm)
Stage 6 SC-beta cells
(all weeks, v8)","Expression (tpm)
Human islet beta cells
(Baron et. al)","log2 fold-change
NKX6.1+ cells
compared to
SC-beta cells","log2 fold-change
NKX6.1+ cells
compared to
islet beta cells","log2 fold-change
SC-beta cells
compared to
islet beta cells"
MCM2,162.2927537,7.736269089,3.246467532,-4.390816799,-5.643583994,-1.252767195
GPRC5B,95.11834294,4.55441648,1,-4.384385452,-6.571651677,-2.187266225
HES4,29.26718244,1.403758504,4.006279083,-4.381917196,-2.868949034,1.512968162
LMO3,160.8138269,7.736269089,1.312401768,-4.377609669,-6.937038203,-2.559428534
PLEKHG4B,22.57309284,1.09181217,1.174254214,-4.369807514,-4.264787426,0.105020088
STAT4,20.62713656,1,3.522762642,-4.366471657,-2.549764385,1.816707272
WFIKKN1,20.62713656,1,1,-4.366471657,-4.366471657,0
NEK2,20.54929831,1,1.450549323,-4.361017227,-3.824417874,0.536599352
SERPINA5,20.47146006,1,1,-4.355542096,-4.355542096,0
CCNA2,32.45855074,1.590926305,1,-4.350659672,-5.020526681,-0.669867008
SDC4,367.7857368,18.03049812,20.72213319,-4.350354372,-4.149621101,0.200733271
BRCA2,20.39362181,1,2.072213319,-4.350046109,-3.298873584,1.051172525
ANKRD1,20.23794531,1,1,-4.33899092,-4.33899092,0
COL18A1,314.7000495,15.69090061,1.934065764,-4.325977339,-7.346196744,-3.020219405
CPVL,20.00443055,1,1,-4.322247656,-4.322247656,0
KIF15,19.9265923,1,1,-4.316623107,-4.316623107,0
SLITRK2,50.59486327,2.557959941,1,-4.305925344,-5.660919015,-1.354993671
TROAP,19.69307755,1,1,-4.299616682,-4.299616682,0
SEL1L3,60.09112991,3.057074076,19.61695275,-4.296928634,-1.615051095,2.681877539
GTSE1,19.53740105,1,12.43327991,-4.288166661,-0.652031635,3.636135026
CHEK1,43.12239115,2.214818973,4.282574192,-4.283176487,-3.331887033,0.951289454
NBPF19,61.02518893,3.181852609,2.901098646,-4.261465943,-4.394733599,-0.133267656
KCNIP1,19.14820979,1,1,-4.259137612,-4.259137612,0
TJP2,227.4433699,12.07232314,7.529041724,-4.235732147,-4.916897316,-0.681165168
KIF4A,18.83685679,1,1,-4.235486344,-4.235486344,0
PTGER4,18.83685679,1,3.246467532,-4.235486344,-2.536615563,1.698870781
GFRA3,182.4528608,9.732725629,1,-4.228536076,-7.511379962,-3.282843885
BCAT1,104.2254183,5.615034016,30.80690467,-4.21426859,-1.758381523,2.455887067
CLDN1,42.26617039,2.27720824,1,-4.21416527,-5.401431495,-1.187266225
GRTP1,18.52550378,1,10.22291904,-4.21144087,-0.857705575,3.353735295
DTL,18.44766553,1,1,-4.205366356,-4.205366356,0
PLPP2,18.44766553,1,3.937205305,-4.205366356,-2.228194412,1.977171944
CALB1,48.25971573,2.620349208,1.5196231,-4.202988423,-4.989033964,-0.786045541
ACKR3,18.21415078,1,1,-4.186987827,-4.186987827,0
SNCAIP,18.21415078,1,1,-4.186987827,-4.186987827,0
THSD7B,18.21415078,1,1,-4.186987827,-4.186987827,0
CCNB1,60.79167417,3.337825776,1.726844432,-4.186893193,-5.137663726,-0.950770533
FANCA,30.04556496,1.653315572,1,-4.183718024,-4.909080144,-0.725362121
DEPDC1B,18.13631252,1,1,-4.180809252,-4.180809252,0
MELK,18.05847427,1,1,-4.174604102,-4.174604102,0
MFSD2B,65.07277799,3.649772111,15.196231,-4.156175853,-2.098340596,2.057835257
C6orf132,17.82495952,1,8.841443493,-4.155826895,-1.011544966,3.14428193
GPX8,17.82495952,1,2.348508428,-4.155826895,-2.924082124,1.231744771
PBK,17.82495952,1,1,-4.155826895,-4.155826895,0
SERPING1,373.0008997,21.0875722,1.657770655,-4.144714197,-7.81379087,-3.669076672
MOB3B,67.25224902,3.805745278,16.02511633,-4.143331605,-2.069247685,2.074083921
GINS4,17.66928302,1,16.92307544,-4.143171594,-0.062251726,4.080919869
MMP14,44.60131793,2.526765307,3.522762642,-4.141722767,-3.662307164,0.479415602
EPHB6,17.59144477,1,1,-4.13680207,-4.13680207,0
NKX6-2,17.59144477,1,1,-4.13680207,-4.13680207,0
TMEM100,17.59144477,1,1,-4.13680207,-4.13680207,0
PDE11A,35.57208079,2.027651173,27.90580602,-4.132863983,-0.35018005,3.782683933
RAD51AP1,17.51360652,1,1,-4.130404298,-4.130404298,0
NHS,46.31375945,2.651543841,1,-4.126536363,-5.533368965,-1.406832602
FGFR2,107.0275954,6.145342785,10.98273059,-4.122345525,-3.284674126,0.837671399
CDC25C,17.28009176,1,1,-4.111038974,-4.111038974,0
FBLN5,17.04657701,1,1,-4.091410167,-4.091410167,0
AXL,16.89090051,1,1,-4.07817434,-4.07817434,0
STOM,16.81306225,1,24.72841227,-4.071510609,0.556587097,4.628097707
TSPAN18,23.58499011,1.403758504,1,-4.070502328,-4.559797091,-0.489294763
SDC1,18.83685679,1.123006803,1,-4.068119677,-4.235486344,-0.167366668
ANTXR1,16.65738575,1,2.762951091,-4.058090094,-2.591880069,1.466210024
HJURP,16.65738575,1,21.06750207,-4.058090094,0.338857268,4.396947362
KIF23,16.65738575,1,1,-4.058090094,-4.058090094,0
ARHGAP28,48.10403923,2.901100909,3.453688864,-4.051485658,-3.799948016,0.251537642
FREM2,91.14859213,5.521450116,1,-4.045101251,-6.510148468,-2.465047216
SMAD6,22.65093109,1.372563871,1,-4.044625165,-4.50149845,-0.456873285
SOD3,16.50170925,1,62.028252,-4.044543562,1.910310003,5.954853564
ADAMTS19,16.423871,1,1,-4.037722296,-4.037722296,0
ESPL1,16.423871,1,1,-4.037722296,-4.037722296,0
NCAPH,16.423871,1,1,-4.037722296,-4.037722296,0
AFP,16.34603275,1,1,-4.030868625,-4.030868625,0
HOXA1,16.34603275,1,1,-4.030868625,-4.030868625,0
YBX3,140.1866904,8.578524192,5.042385742,-4.030476098,-4.797099085,-0.766622986
MEGF6,22.33957809,1.372563871,1,-4.024656749,-4.481530034,-0.456873285
ARHGAP11A,16.2681945,1,2.003139541,-4.023982239,-3.021719315,1.002262925
HRASLS5,16.2681945,1,1,-4.023982239,-4.023982239,0
CDCA5,16.19035625,1,1,-4.017062825,-4.017062825,0
CDH11,16.19035625,1,1,-4.017062825,-4.017062825,0
PITX1,16.11251799,1,1,-4.010110065,-4.010110065,0
SEMA6B,17.59144477,1.09181217,3.937205305,-4.010077386,-2.159630126,1.85044726
SCD5,23.04012235,1.434953138,87.79277093,-4.00507285,1.929953772,5.935026622
BUB1,16.03467974,1,1,-4.003123634,-4.003123634,0
UACA,44.67915618,2.807517008,3.246467532,-3.992235271,-3.782659253,0.209576019
KIF14,15.87900324,1,2.55572976,-3.989048449,-2.635313154,1.353735295
FST,15.80116499,1,1,-3.981959024,-3.981959024,0
SLIT3,118.2363035,7.486712022,2.624803537,-3.981197,-5.493319819,-1.512122819
CDC6,15.64548849,1,1.5196231,-3.967674798,-3.36396125,0.603713548
CTSH,15.64548849,1,9.601255043,-3.967674798,-0.704451796,3.263223002
GP2,15.64548849,1,15.05808345,-3.967674798,-0.055208544,3.912466254
HDAC7,38.06290483,2.433181407,6.009418624,-3.967469877,-2.663088337,1.30438154
BRCA1,18.52550378,1.18539607,19.47880519,-3.966071691,0.072392411,4.038464102
HMMR,15.56765024,1,1,-3.960479297,-3.960479297,0
HOMER3,92.23832765,5.926980351,3.384615087,-3.959997176,-4.768302677,-0.808305501
OVOL1,18.36982728,1.18539607,1,-3.953896977,-4.199266157,-0.24536918
ANLN,33.08125675,2.152429706,1,-3.941976015,-5.047942138,-1.105966123
CCDC102A,18.68118028,1.216590704,1,-3.940669818,-4.223513703,-0.282843885
GLDC,16.2681945,1.060617536,1.174254214,-3.939077732,-3.792237468,0.146840263
CGA,19.6152393,1.27897997,1,-3.93890936,-4.293903031,-0.354993671
ZWINT,15.33413548,1,1,-3.938674927,-3.938674927,0
CENPK,15.64548849,1.029422903,98.70642774,-3.925839013,2.657397332,6.583236345
MYOCD,77.44905992,5.178309149,1,-3.902694725,-6.275175823,-2.372481098
C8orf4,14.86710598,1,1,-3.894051935,-3.894051935,0
COL21A1,14.86710598,1,1,-3.894051935,-3.894051935,0
ORC6,41.09859662,2.776322375,4.489795524,-3.887842129,-3.194367484,0.693474645
IGFBP6,14.78926772,1,2.693877314,-3.886478715,-2.456794567,1.429684148
PLK4,14.78926772,1,1,-3.886478715,-3.886478715,0
IQGAP3,14.63359122,1,1,-3.871211959,-3.871211959,0
FANCD2,14.55575297,1,10.56828792,-3.863517567,-0.461847795,3.401669772
SERPINH1,376.1144297,25.92274038,13.60753413,-3.858881513,-4.788694097,-0.929812584
AMHR2,42.96671465,2.963490175,1,-3.857850289,-5.425147564,-1.567297275
SH3RF2,14.47791472,1,1,-3.855781918,-3.855781918,0
AMBP,578.1825298,40.08510395,1.381475546,-3.850386897,-8.709171183,-4.858784286
MAST4-IT1,14.40007647,1,1,-3.848004568,-3.848004568,0
RAD51,14.40007647,1,1,-3.848004568,-3.848004568,0
PKN3,14.32223822,1,1,-3.840185063,-3.840185063,0
FLNA,609.0064772,42.54947999,10.56828792,-3.839244167,-5.84864399,-2.009399823
ERICH5,61.10302718,4.273664779,26.04081404,-3.837698202,-1.230469308,2.607228894
BMPR1B,14.24439997,1,1,-3.832322945,-3.832322945,0
PDPN,14.24439997,1,1,-3.832322945,-3.832322945,0
TRIP13,14.24439997,1,6.35478751,-3.832322945,-1.16447906,2.667843886
