Gene Symbol,log2 fold-change Start vs. end ,pseudotime 0, pseudotime 1 on SC-beta branch,pseudotime 1 on SC-EC branch,log2 fold-change SC-beta vs. SC-EC,log likelihood of GLM model with pseudotime and branching,"log likelihood of GLM model with pseudotime, but no branching",log likelihood of GLM model without pseudotime or branching,(Pseudotime vs. Reduced) FDR corrected q-value from likelihood ratio test,(Branched vs. Pseudotime) FDR corrected q-value from likelihood ratio test
GKAP1,-0.398143699,0.530332251,0.311692299,0.471784148,0.55272207,-12982.10188,-12979.00356,-12982.10188,0.008258847,0.362353861
NT5DC3,-0.124735701,0.118416629,0.126238788,0.1,-0.432663912,-3912.485853,-3909.388131,-3912.485853,9.76966E-12,0.362470531
NPAP1,0,0.1,0.1,0.1,0,-240.6839929,-237.5864976,-240.6839929,0.001432993,0.362485527
ZNF663P,0,0.1,0.1,0.1,0,-146.9386762,-143.8415505,-146.9386762,0.404637188,0.362539585
PEG13,0,0.1,0.1,0.1,0,-299.7691179,-296.6747663,-299.7691179,0.000433215,0.363253267
LSAMP,1.010058902,0.66300212,1.641954952,1.055470689,-0.621635684,-11620.67161,-11617.57854,-11620.67161,7.04532E-79,0.363560346
UBTF,-0.667856203,0.574677009,0.403162727,0.346180382,-0.186318265,-11728.75602,-11725.66321,-11728.75602,2.44105E-14,0.363581039
BZW2,0.018200879,0.513365592,0.439474974,0.633580046,0.50692919,-16317.77714,-16314.68469,-16317.77714,2.58176E-09,0.363607899
DENND2C,0,0.105611474,0.1,0.1,0,-1341.648429,-1338.556058,-1341.648429,9.21444E-05,0.363607899
GGA3,-0.548956648,0.530165714,0.30801553,0.281778308,-0.120640596,-9492.823339,-9489.731143,-9492.823339,0.000120634,0.363608634
ERC1,0.367975847,0.761027216,0.917249111,0.688989053,-0.370251657,-13392.32699,-13389.23553,-13392.32699,1.49626E-42,0.363764667
ADCK5,0,0.1,0.1,0.1,0,-1866.219663,-1863.129591,-1866.219663,0.622780071,0.364098038
ZNF280D,0.488914549,0.18088673,0.255686136,0.394182547,0.535117616,-7764.285324,-7761.196006,-7764.285324,0.156246291,0.364258022
HMCES,-0.669542707,0.65173415,0.317972273,0.452590168,0.502513538,-13321.64462,-13318.55568,-13321.64462,3.27347E-13,0.364316932
FAM198A,-0.098354539,0.1,0.1,0.1,0,-170.4787102,-167.3908731,-170.4787102,1.80836E-05,0.364570828
DCLK1,0.861451565,0.1,0.208264428,0.175475674,-0.157384977,-2523.912159,-2520.825244,-2523.912159,8.74611E-13,0.364726625
IRF6,1.057235503,0.139317772,0.193388238,0.34093832,0.750175518,-5463.656052,-5460.569109,-5463.656052,0.004609517,0.364726625
MELK,-1.53435376,0.433306764,0.1,0.1,0,-1757.627951,-1754.541196,-1757.627951,3.61977E-57,0.364726625
KCNRG,0,0.1,0.1,0.1,0,-718.3522224,-715.2658429,-718.3522224,0.22246878,0.364782613
CD248,0,0.1,0.1,0.1,0,-791.8591988,-788.7735966,-791.8591988,3.06443E-46,0.364949415
GRIP1,-0.134581167,0.1,0.1,0.1,0,-2069.234508,-2066.149421,-2069.234508,0.000151069,0.365044132
SUN1,0.120627303,0.738684686,0.857870152,0.740363378,-0.217408921,-16346.23548,-16343.15157,-16346.23548,0.173516213,0.365289402
NAP1L3,1.759749776,0.105883467,0.302869248,0.412533763,0.380095269,-6774.915196,-6771.831515,-6774.915196,6.51384E-32,0.365289402
SLCO4A1,0,0.1,0.1,0.1,0,-1054.72623,-1051.64248,-1054.72623,0.012344246,0.365289402
PCDHB12,0,0.1,0.1,0.1,0,-390.7849156,-387.702202,-390.7849156,0.08665387,0.365508769
CLPSL1,0,0.1,0.1,0.1,0,-318.737132,-315.6548044,-318.737132,1.03793E-15,0.365567824
CCDC124,-0.141839185,0.360772463,0.313967717,0.34516639,0.165507803,-10097.80275,-10094.72067,-10097.80275,0.694030842,0.365590984
DBF4B,0,0.1,0.1,0.1,0,-909.0998178,-906.0193132,-909.0998178,0.001211456,0.365928727
KCNH1,0,0.1,0.1,0.1,0,-225.3299876,-222.2494143,-225.3299876,2.15135E-05,0.365928727
UCK2,2.272352843,0.147454551,0.746273057,1.005042337,0.394162964,-12511.55975,-12508.47988,-12511.55975,4.01089E-52,0.366037104
UTP18,0.25210431,0.526144672,0.554169612,0.716638125,0.360088894,-14255.96334,-14252.88357,-14255.96334,0.070722762,0.366037104
LRCH2,1.736553749,0.1,0.369468521,0.296150486,-0.277009784,-7057.020731,-7053.94161,-7057.020731,7.83994E-42,0.366168404
MEX3D,-1.046240607,2.946224521,1.395683274,1.209408413,-0.183611044,-26948.70823,-26945.63111,-26948.70823,4.5169E-53,0.366673152
NANP,0.281772055,0.1,0.125164684,0.118892695,-0.045986444,-2614.76916,-2611.692527,-2614.76916,4.97608E-07,0.366761516
HIC2,-0.114383112,0.84725968,0.649538831,0.922843055,0.459169884,-18421.11681,-18418.04083,-18421.11681,0.356749974,0.366895275
RUFY2,0.198088388,0.146044154,0.117728888,0.174671777,0.512010589,-4639.437215,-4636.362251,-4639.437215,0.303772548,0.367080762
WDR55,0.136197154,0.187875769,0.171976198,0.280916607,0.622173247,-6325.369564,-6322.294561,-6325.369564,0.22176469,0.367080762
FRA10AC1,1.002647726,0.317366457,0.84057076,0.607748338,-0.468195115,-12588.87735,-12585.80327,-12588.87735,1.16774E-14,0.36727713
ALKBH1,0.544459725,0.2143734,0.24321396,0.389942119,0.588946404,-7611.92245,-7608.848963,-7611.92245,0.050107827,0.367395035
ADGRA3,-2.076750343,1.238868793,0.335689703,0.203637661,-0.654906901,-11210.59328,-11207.5205,-11210.59328,1.84971E-60,0.367494391
DDX23,-0.466737805,0.724564039,0.512617987,0.612898644,0.244562648,-13848.75681,-13845.6839,-13848.75681,3.14637E-06,0.367494391
WDR35,1.039040266,0.1,0.27731563,0.171379916,-0.601969256,-10406.4018,-10403.32993,-10406.4018,1.80905E-76,0.367700704
DHX57,0.115560132,0.390437388,0.410920437,0.34509418,-0.227957057,-11803.21985,-11800.14879,-11803.21985,2.0229E-08,0.367828501
CBWD5,-0.816724997,0.204783921,0.1,0.120783736,0.238551951,-4435.903431,-4432.832315,-4435.903431,6.57807E-05,0.367828501
SBNO1,0.180630571,0.937997678,1.211869706,1.082403812,-0.178116693,-20179.64772,-20176.57735,-20179.64772,0.339139192,0.367926942
DBN1,-0.244178709,1.912266817,1.740825192,1.636390986,-0.060381409,-38577.65501,-38574.58448,-38577.65501,2.4743E-212,0.367926942
TMEM132C,0.021427184,0.1,0.188035668,0.1,-0.403392595,-1405.325801,-1402.256619,-1405.325801,1.90665E-67,0.368208247
SERAC1,-0.4090752,0.135949899,0.140810583,0.1,-0.475161112,-3545.223177,-3542.154535,-3545.223177,0.109427867,0.368310271
DIP2B,0.948661373,0.366330594,0.803864892,0.749403093,-0.064905389,-15219.45717,-15216.38937,-15219.45717,2.54063E-16,0.368448419
SMIM13,1.525170082,0.142410086,0.322370243,0.461101766,0.514266241,-8741.964961,-8738.897134,-8741.964961,1.62228E-44,0.368448419
SVIL,-2.200959552,1.418597211,0.33340671,0.266921338,-0.274393558,-12840.22321,-12837.15564,-12840.22321,4.13197E-57,0.368465573
FAM228B,0,0.10117435,0.1,0.1,0,-2180.386772,-2177.319839,-2180.386772,0.104527728,0.36859439
INO80B,0.381989016,0.244943715,0.21887421,0.401683574,0.796488704,-7950.770524,-7947.704834,-7950.770524,0.031037249,0.368650601
DHX33,-0.071232767,0.762456041,0.609105735,0.727097941,0.232640571,-15609.01207,-15605.94654,-15609.01207,1.29352E-16,0.368650601
SUPT6H,0.40806709,0.671462452,0.79796878,1.0368225,0.355094916,-18332.13181,-18329.06567,-18332.13181,1.54741E-10,0.368650601
PAMR1,0,0.1,0.1,0.1,0,-584.4705023,-581.4048028,-584.4705023,3.42867E-09,0.368650601
C5orf24,1.157922861,0.782653191,2.027882748,1.629882586,-0.290151318,-26185.71596,-26182.64987,-26185.71596,1.2741E-63,0.368650601
KRT23,0,0.1,0.1,0.1,0,-116.5611951,-113.4955483,-116.5611951,0.354463352,0.368650601
SCRT1,0.585246256,0.1,0.131075425,0.16020019,0.323766887,-2106.986822,-2103.920422,-2106.986822,2.3475E-42,0.368650601
RFC3,0,0.1,0.1,0.1,0,-808.4641123,-805.3990306,-808.4641123,3.60189E-06,0.368727487
SLCO5A1,-0.489554205,0.137769711,0.1,0.1,0,-2391.761436,-2388.69746,-2391.761436,2.36888E-11,0.368844096
SYTL3,0,0.1,0.1,0.1,0,-1441.072569,-1438.008293,-1441.072569,0.2102442,0.368844096
VAMP3,0.217100734,0.927617551,1.197884522,1.139004641,-0.072261164,-21863.19819,-21860.13402,-21863.19819,4.4409E-17,0.368844096
CDO1,1.051784018,0.223340918,0.37658954,0.575820472,0.555981541,-9241.068173,-9238.004196,-9241.068173,4.42043E-07,0.368844096
GLTSCR1L,0.26583032,0.139531486,0.188361504,0.162959653,-0.175203441,-5509.169712,-5506.106402,-5509.169712,0.089529142,0.368981788
FAM69A,-1.153394202,0.14635962,0.1,0.1,0,-1326.93179,-1323.868733,-1326.93179,2.93588E-15,0.369002449
NF2,-0.27311609,0.337100045,0.197516492,0.308353989,0.619036404,-6449.827247,-6446.764354,-6449.827247,0.000338951,0.369002449
FANCL,-2.386756493,0.697718466,0.110744967,0.1,-0.14868046,-5920.510609,-5917.448473,-5920.510609,3.52805E-37,0.369139955
TRIM39,0.25804935,0.116549831,0.184839634,0.148479814,-0.340427376,-5431.48828,-5428.426396,-5431.48828,0.232880304,0.369139955
MUTYH,-0.436379112,0.161933237,0.107344662,0.148214557,0.347554526,-3462.903164,-3459.841253,-3462.903164,1.30837E-08,0.369139955
RCBTB1,2.511443711,0.132076098,0.711777135,0.884387133,0.323906615,-14288.04167,-14284.98018,-14288.04167,3.4768E-116,0.369202598
NBPF19,-3.283259264,1.201952593,0.1,0.1,0,-5232.549568,-5229.48875,-5232.549568,4.2546E-147,0.369341408
C19orf18,0,0.1,0.1,0.1,0,-981.3914489,-978.3308893,-981.3914489,0.561494797,0.369365717
PVR,0,0.1,0.1,0.1,0,-216.2724906,-213.2125027,-216.2724906,0.843362795,0.369436825
STX16,0.455227913,0.557884595,0.702193974,0.886441651,0.332827567,-16452.68613,-16449.62616,-16452.68613,1.83764E-11,0.369436825
ADAMTS1,0,0.1,0.1,0.1,0,-1246.845545,-1243.785925,-1246.845545,3.74529E-08,0.369484278
MDP1,0.248274709,0.166992301,0.131893114,0.263060209,0.874654499,-5109.583425,-5106.524511,-5109.583425,0.50375958,0.369549821
DUOX2,0,0.1,0.1,0.1,0,-120.9977243,-117.9388249,-120.9977243,0.005326361,0.369549821
FBXO3,0.880118948,0.456649079,0.747432029,0.957298439,0.311172634,-17209.38064,-17206.32177,-17209.38064,1.52729E-20,0.369549821
RASL12,0,0.1,0.1,0.1,0,-107.0667999,-104.0086167,-107.0667999,0.114175205,0.369693732
C8orf4,-0.690209039,0.169623651,0.1,0.1,0,-4027.548024,-4024.490558,-4027.548024,1.6287E-108,0.369845796
CERS5,0,0.1,0.1,0.125423232,0.231691582,-2819.150176,-2816.093311,-2819.150176,0.349296644,0.369965587
PIAS2,0.996309801,0.376528451,0.712726735,0.730388675,0.011910921,-14380.63618,-14377.57984,-14380.63618,3.25706E-21,0.37001632
RNF152,0.234709215,0.487580323,0.619340637,0.487313431,-0.393139917,-7817.610919,-7814.554544,-7817.610919,4.29755E-17,0.37001632
GLT1D1,0,0.1,0.1,0.1,0,-1754.516288,-1751.46087,-1754.516288,1.96804E-12,0.370226085
STX1B,0,0.1,0.1,0.1,0,-374.61439,-371.5603352,-374.61439,0.015935743,0.370558726
FOXC1,0,0.1,0.1,0.1,0,-950.4161162,-947.362375,-950.4161162,0.000291293,0.370598495
LRRC58,0.051330454,0.50613648,0.567690952,0.41649778,-0.36500353,-12710.21107,-12707.15767,-12710.21107,8.51038E-13,0.370645043
MATN4,0,0.1,0.1,0.1,0,-187.6512072,-184.598621,-187.6512072,0.004358028,0.370825509
LRRC75A,0,0.1,0.1,0.1,0,-2085.316407,-2082.264472,-2085.316407,8.96568E-05,0.370948599
EIF3L,-1.143061872,2.986856596,1.475826373,1.268599304,-0.225896429,-29166.96845,-29163.9168,-29166.96845,1.0672E-118,0.370948599
MIR4724,0,0.1,0.1,0.1,0,-164.1180099,-161.0665483,-164.1180099,0.399505069,0.370948599
WDR36,0.459360458,0.161500777,0.223203025,0.196275356,-0.22577478,-5613.721543,-5610.669964,-5613.721543,0.091330864,0.370948599
NLGN4X,-1.366912544,0.510472349,0.27623625,0.172065345,-0.654500907,-8726.593555,-8723.54266,-8726.593555,3.08782E-39,0.371059292
SGCB,1.842664318,0.153579403,0.738334546,0.567208536,-0.355351252,-12337.81463,-12334.76459,-12337.81463,5.66629E-68,0.371248929
ZNF536,-0.466515951,0.184684691,0.1,0.1,0,-725.5172644,-722.467471,-725.5172644,7.82012E-14,0.371271503
EXOSC5,-0.109994834,0.178060885,0.154476703,0.182889706,0.267096145,-6150.697847,-6147.648409,-6150.697847,0.000620801,0.371296931
RMI2,-3.113469824,1.197678045,0.1,0.1,0,-4340.0636,-4337.01424,-4340.0636,9.3047E-173,0.371296931
TOM1L1,0.078688466,0.457077825,0.556584831,0.352476805,-0.618979803,-9272.030892,-9268.98202,-9272.030892,4.32833E-08,0.371385699
GFOD2,0.9369848,0.291930413,0.4837375,0.734221845,0.539480028,-13565.16557,-13562.11722,-13565.16557,2.82244E-14,0.37143557
SLC9A3R1,-0.115710107,2.297745106,1.682952091,1.840986533,0.138522382,-23393.24821,-23390.19979,-23393.24821,2.26795E-78,0.37143557
DLEU2,0,0.1,0.1,0.1,0,-2308.487737,-2305.439828,-2308.487737,0.241543601,0.371511673
ZNF519,-0.077283203,0.1,0.1,0.1,0,-2435.004003,-2431.957569,-2435.004003,1.088E-06,0.371861519
CHST12,0.499287997,0.318583506,0.496946956,0.317714326,-0.600612646,-8522.202975,-8519.156657,-8522.202975,3.57455E-16,0.371861519
LRRC8A,-0.332175484,0.615464092,0.549034831,0.633455692,0.18261462,-14155.75003,-14152.70507,-14155.75003,2.97644E-06,0.372097892
DHX32,-0.421616971,0.358765672,0.341096466,0.212030814,-0.612158567,-9077.680319,-9074.635202,-9077.680319,1.51119E-07,0.372097892
CEP104,1.358198833,0.136984123,0.418053143,0.389367022,-0.085078785,-8165.146305,-8162.101154,-8165.146305,1.46886E-09,0.372097892
ELN,0,0.1,0.1,0.1,0,-497.817319,-494.7726607,-497.817319,0.001758659,0.372134932
CRY2,-0.956082555,0.17625524,0.1,0.1,0,-3364.258144,-3361.214319,-3364.258144,1.70099E-06,0.372252761
MARCH10,0,0.1,0.1,0.1,0,-308.3410027,-305.2971173,-308.3410027,9.95875E-06,0.372252761
ANAPC4,-0.868855378,0.148660169,0.114723279,0.1,-0.168894161,-3139.334392,-3136.290666,-3139.334392,3.58283E-06,0.372252761
COG6,1.101933199,0.203283768,0.569416838,0.340267832,-0.693950674,-8480.53479,-8477.491535,-8480.53479,3.08191E-08,0.372336799
ASIC2,2.30417879,0.1,0.47312974,0.484113044,0.045160712,-6761.027619,-6757.985196,-6761.027619,7.1556E-211,0.372522334
N4BP2L2,0.633376768,1.747549203,3.087627091,2.963205373,-0.090635552,-35853.68363,-35850.64177,-35853.68363,3.28448E-35,0.37263003
LRP2,-1.755245921,0.383322778,0.1,0.1,0,-1007.627066,-1004.585698,-1007.627066,4.03478E-35,0.372649883
ACRBP,0,0.1,0.1,0.1,0,-159.7929498,-156.7515016,-159.7929498,0.052397913,0.372649883
ETFDH,1.755780207,0.1,0.415789913,0.280831771,-0.552784438,-5800.639466,-5797.598181,-5800.639466,3.80742E-40,0.372649883
CCDC134,0,0.1,0.1,0.1,0,-413.9669587,-410.9263958,-413.9669587,0.032695532,0.372804613
SZRD1,-0.344910979,0.768692812,0.518207732,0.63456946,0.296939393,-14731.51408,-14728.47433,-14731.51408,0.033536352,0.372984023
COASY,0.778458709,0.289126625,0.383930519,0.502546401,0.389210996,-8543.59462,-8540.555532,-8543.59462,4.75307E-12,0.373118633
PSMB6,-0.062600355,1.583428266,1.411810769,1.420527023,0.023146791,-22136.43058,-22133.39165,-22136.43058,1.31241E-13,0.373118633
APBA3,0.660890601,0.1,0.217815265,0.151343376,-0.485421891,-4653.223849,-4650.185561,-4653.223849,0.030002416,0.373251537
MAP2K6,-0.75390446,0.402080412,0.152806982,0.230322526,0.587459514,-6534.461033,-6531.424579,-6534.461033,6.19669E-25,0.373575428
SHF,-0.240133757,0.195283116,0.128912632,0.20212156,0.614294258,-5715.781211,-5712.744589,-5715.781211,3.52449E-05,0.373575428
PRMT8,0,0.1,0.1,0.1,0,-219.6086495,-216.5721579,-219.6086495,0.0276011,0.373575428
C5orf30,-1.728227128,0.467742783,0.1,0.1,0,-2253.398477,-2250.361679,-2253.398477,6.85152E-28,0.373575428
ZBTB5,-1.54137283,0.446300407,0.194520528,0.130537736,-0.538141076,-6019.485039,-6016.4488,-6019.485039,3.95574E-13,0.373587692
TSPAN10,0,0.1,0.1,0.1,0,-474.2537246,-471.2179787,-474.2537246,1.84682E-05,0.373678542
SYT3,0,0.1,0.1,0.1,0,-175.0859377,-172.0507691,-175.0859377,0.026172618,0.373792912
IFRD2,-0.135878612,0.309291451,0.352664174,0.237039258,-0.479623526,-8598.410373,-8595.376779,-8598.410373,0.086466442,0.374187818
SLC9C1,0,0.1,0.1,0.1,0,-316.8873809,-313.8549446,-316.8873809,0.807632787,0.37446586
POLR3A,1.296304083,0.269797284,0.913532599,0.713184612,-0.318932315,-14312.89178,-14309.85957,-14312.89178,7.65799E-20,0.374484073
KIAA0430,-0.435812145,0.394043253,0.346724445,0.300168549,-0.227828503,-9889.604074,-9886.572132,-9889.604074,3.92459E-22,0.374509115
LRRC73,0.352793725,0.1,0.108959261,0.152213783,0.337680764,-2735.399876,-2732.368392,-2735.399876,2.00589E-17,0.374542269
LIAS,-0.321087298,0.1,0.1,0.113009238,0.065549654,-2927.418652,-2924.387057,-2927.418652,0.015745243,0.374542269
BLOC1S5,-1.794887785,0.452251317,0.112015842,0.1,-0.160878799,-4599.10381,-4596.073014,-4599.10381,1.03104E-16,0.374687787
STK40,0.612963977,0.25866741,0.269017431,0.468884491,0.740732414,-7885.868546,-7882.839593,-7885.868546,5.38377E-22,0.375159415
ATP6AP1L,-0.090538468,0.1,0.1,0.145682104,0.344337011,-3799.714318,-3796.686366,-3799.714318,4.48811E-15,0.375393747
CACTIN,-0.425807006,0.315051582,0.188876742,0.280211933,0.537622922,-6815.01453,-6811.986993,-6815.01453,1.26936E-07,0.375462971
NOS1AP,0.387141076,0.1,0.239841712,0.1,-1.044418651,-1949.70751,-1946.680786,-1949.70751,0.000221248,0.37564453
RPS6KB2,0.099827031,0.384776796,0.33758982,0.400895947,0.270391623,-10028.65413,-10025.62813,-10028.65413,9.07048E-15,0.375800587
ZNF837,0,0.1,0.1,0.1,0,-1322.504758,-1319.47901,-1322.504758,0.213177106,0.375823533
VAMP8,-2.310640806,2.148908745,0.437690894,0.338076301,-0.389814418,-10942.31841,-10939.29326,-10942.31841,1.2905E-134,0.375945209
CEP19,0,0.1,0.1,0.1,0,-2329.692543,-2326.669275,-2329.692543,2.06577E-06,0.376273141
EXO1,-1.061442728,0.404578174,0.1,0.1,0,-790.7150623,-787.6919256,-790.7150623,4.59499E-29,0.376273141
RNF145,-0.236468777,1.346969817,0.880956038,1.24721149,0.438120989,-16482.03125,-16479.00771,-16482.03125,5.42643E-32,0.376273141
HOXB7,0,0.1,0.1,0.1,0,-524.3322041,-521.3086013,-524.3322041,0.005628909,0.376273141
KIAA0368,-0.558010092,0.807310035,0.473015267,0.557711934,0.240368665,-12872.50216,-12869.47885,-12872.50216,2.12113E-12,0.376273141
CYTIP,0,0.1,0.1,0.1,0,-163.30529,-160.2825969,-163.30529,5.33882E-05,0.376350481
SERPINB8,0,0.1,0.1,0.1,0,-408.1534715,-405.1311333,-408.1534715,0.580200031,0.376402744
ITPR1,1.709209108,0.1,0.244693173,0.403927666,0.668005676,-4454.842698,-4451.820889,-4454.842698,8.22399E-19,0.376407875
ARL9,0,0.1,0.1,0.1,0,-1086.897756,-1083.875619,-1086.897756,0.00021356,0.376407875
UHRF1BP1L,1.219204133,0.1,0.303083375,0.201237553,-0.509791861,-7680.113264,-7677.091322,-7680.113264,1.31104E-21,0.376407875
CD72,0.797171678,0.1,0.218582563,0.122666142,-0.733524474,-4994.49596,-4991.474343,-4994.49596,2.6743E-115,0.376414205
FMNL2,0.855598698,0.599591631,1.159664282,1.091057863,-0.054314894,-25528.38578,-25525.36476,-25528.38578,4.5358E-122,0.376487827
DAGLA,0.662297434,0.180435926,0.15959893,0.22563273,0.473864065,-4995.869267,-4992.848206,-4995.869267,1.90828E-21,0.376487827
AP5B1,0,0.1,0.1,0.1,0,-1958.211921,-1955.191194,-1958.211921,0.003374276,0.376521727
S100PBP,-0.089991918,0.494301437,0.589596625,0.425352505,-0.420594369,-15833.84852,-15830.82841,-15833.84852,9.52616E-12,0.376606366
AP5Z1,0.705354133,0.139681488,0.150957016,0.294261971,0.899178131,-6136.792881,-6133.772852,-6136.792881,0.002070024,0.376606366
HIST4H4,0,0.1,0.1,0.1,0,-450.8370452,-447.8171272,-450.8370452,0.127105229,0.376606366
DCAF10,0.699109167,0.312398595,0.503556988,0.469354761,-0.11011135,-12179.09971,-12176.08125,-12179.09971,6.2701E-12,0.376870697
UIMC1,-0.350510506,0.323173373,0.339708535,0.21035277,-0.620403149,-9650.487584,-9647.469102,-9650.487584,0.000930684,0.376870697
TRIQK,2.130569443,0.129778211,0.414481344,0.602284389,0.514204527,-8429.138275,-8426.120214,-8429.138275,2.6433E-42,0.376870697
TIMM10,-0.830107711,0.350451693,0.189100606,0.270898491,0.48375682,-9849.78241,-9846.764198,-9849.78241,7.14642E-06,0.376870697
TXK,0,0.1,0.1,0.1,0,-167.985326,-164.9673613,-167.985326,0.000404272,0.376870697
AQP7,0,0.1,0.1,0.1,0,-525.8142488,-522.7958154,-525.8142488,3.2877E-08,0.376870697
SPOCK3,1.078783984,0.1,0.142546335,0.230947747,0.6941826,-6663.162443,-6660.144696,-6663.162443,3.6724E-188,0.376884453
DHRS4,0,0.1,0.1,0.1,0,-481.2810703,-478.2636653,-481.2810703,0.019362952,0.376932989
FAM160B2,-0.936532509,0.299095908,0.1,0.206892323,1.014437383,-4770.061738,-4767.044945,-4770.061738,8.34309E-09,0.377058266
PAF1,0.601390247,0.204256787,0.243436093,0.285279664,0.202145517,-7903.379943,-7900.363664,-7903.379943,5.25337E-06,0.377107685
MAST1,0.27198569,0.1,0.117497064,0.130927671,0.186243062,-3105.351992,-3102.335617,-3105.351992,0.023209702,0.377107685
PGRMC2,0.949414442,0.504818599,1.180399499,1.03567789,-0.190405745,-20307.32021,-20304.305,-20307.32021,3.18625E-26,0.377359996
BAK1,0.935834582,0.114309423,0.14301248,0.239987132,0.690057082,-5048.23645,-5045.221835,-5048.23645,4.97546E-06,0.377434882
ZNF14,-0.199942569,0.106312031,0.1,0.162331513,0.609736035,-3552.835603,-3549.820978,-3552.835603,0.02911724,0.377434882
ADAMTS10,-0.863344878,0.199171387,0.1,0.1,0,-2702.63147,-2699.617067,-2702.63147,2.29911E-11,0.377446877
AAK1,0.977492108,0.695756145,1.136713933,1.547405092,0.411426895,-19361.11287,-19358.09874,-19361.11287,1.10006E-71,0.377474922
POLN,0,0.1,0.1,0.1,0,-1326.309592,-1323.295853,-1326.309592,0.010601092,0.377538846
MED4,-0.574794961,1.232212739,0.649258441,0.844030167,0.345599917,-18834.49905,-18831.48668,-18834.49905,8.92438E-08,0.377880115
TMEM169,2.114497879,0.1,0.444958494,0.425611198,-0.064989253,-8993.122916,-8990.112582,-8993.122916,5.76816E-79,0.378327196
TCTE3,0,0.1,0.1,0.1,0,-766.3490085,-763.3384222,-766.3490085,0.103133756,0.378327196
CCDC115,0.017913292,0.334689504,0.350179611,0.37803698,0.100040071,-7312.210344,-7309.200062,-7312.210344,4.76357E-15,0.378327196
PPP1R21,0.509751848,0.360104184,0.592725286,0.398301405,-0.524648009,-10997.71198,-10994.70341,-10997.71198,0.000297062,0.378666867
C6orf203,-0.243209109,0.126963473,0.120814636,0.1,-0.265197571,-3041.589104,-3038.580425,-3041.589104,0.215092532,0.378666867
HELLS,-1.8872056,1.057546127,0.191112852,0.266085181,0.450013757,-7772.06089,-7769.052103,-7772.06089,7.4547E-62,0.378666867
CNKSR2,-0.889916568,0.182243114,0.1,0.1,0,-2908.253639,-2905.245476,-2908.253639,8.11414E-29,0.378736314
SHB,-0.846841664,0.480586049,0.243438243,0.231640153,-0.038680003,-5211.552903,-5208.545437,-5211.552903,2.69429E-20,0.378848688
CDCA3,-1.420688994,0.39249164,0.1,0.1,0,-2073.550951,-2070.543522,-2073.550951,8.71293E-30,0.378848688
GABARAPL1,0.335661104,1.554566084,2.028981784,1.578706005,-0.334458815,-23615.92015,-23612.91312,-23615.92015,1.13054E-25,0.378913592
MRPL22,1.122161754,0.2451641,0.678178314,0.593776256,-0.168313414,-10135.96362,-10132.95679,-10135.96362,3.51133E-09,0.378921359
MYOF,-0.137611841,0.169538259,0.1,0.1,0,-882.499888,-879.493451,-882.499888,2.32015E-25,0.378937987
ALOX12B,0,0.1,0.1,0.1,0,-264.7277636,-261.7212069,-264.7277636,0.093847146,0.378937987
CLPX,-0.494575438,0.689499853,0.542460758,0.354137514,-0.57247319,-10803.17942,-10800.17367,-10803.17942,6.87841E-06,0.379086341
DCST2,0,0.1,0.1,0.1,0,-102.170009,-99.16444584,-102.170009,0.00099493,0.379090108
SLC27A2,0.440837976,0.110387156,0.1,0.246711564,1.199005561,-3026.338128,-3023.333031,-3026.338128,1.68852E-13,0.379174485
OSBPL9,-0.660759084,1.936929238,1.015540682,1.243456671,0.276226875,-25271.57905,-25268.57429,-25271.57905,5.96861E-10,0.379223422
TMEM27,0,0.1,0.1,0.1,0,-525.241328,-522.2388364,-525.241328,0.106530608,0.379683282
NCAPD3,-0.86378701,0.192813279,0.1,0.10920928,0.057993092,-4155.185528,-4152.183039,-4155.185528,3.25805E-06,0.379683282
IGBP1,-0.740256894,1.099724783,0.705712853,0.544331243,-0.334536983,-17314.29572,-17311.29326,-17314.29572,1.41025E-09,0.379683282
PWAR5,0,0.1,0.1,0.1,0,-1726.635701,-1723.632811,-1726.635701,0.002741457,0.379683282
POLR3D,-0.137002721,0.118418336,0.137026777,0.1,-0.431913136,-3871.069216,-3868.067137,-3871.069216,0.689992169,0.379697299
TIA1,-0.823733732,2.385262183,1.499978593,1.312904234,-0.190923812,-30618.00383,-30615.00176,-30618.00383,9.823E-155,0.379697299
ABCD3,0.848062155,0.377017281,0.845681828,0.699288159,-0.262657452,-14938.61876,-14935.61708,-14938.61876,3.31472E-24,0.379760751
DOPEY1,0.322889177,0.332771861,0.38010749,0.358706076,-0.101779503,-8469.143223,-8466.14237,-8469.143223,4.56218E-05,0.379900987
HFE,0,0.1,0.1,0.1,0,-196.1756489,-193.1746445,-196.1756489,0.023057253,0.379900987
MIA2,0,0.1,0.1,0.1,0,-391.8707626,-388.8706399,-391.8707626,0.001966219,0.38003521
RCOR2,0.603032309,0.26944171,0.650694455,0.496262728,-0.390152935,-17461.24043,-17458.24039,-17461.24043,1.071E-137,0.38003521
GLI4,-0.003278434,0.14540655,0.1,0.1,0,-2065.304215,-2062.306073,-2065.304215,0.002668518,0.380528978
ZNF707,0,0.1,0.1,0.1,0,-1265.377183,-1262.379312,-1265.377183,0.593084708,0.380557904
CUTA,0.476188957,1.836530746,2.275195667,2.735910416,0.237728798,-34223.02709,-34220.0294,-34223.02709,1.12222E-15,0.380562252
