Gene Symbol,"log2 fold-change Start vs. end of PDT trajectory","expression (tpm) at pseudotime 0","expression (tpm) at pseudotime 1","log likelihood of GLM model with pseudotime","log likelihood of GLM model without pseudotime","FDR corrected q-value from likelihood ratio test"
PAK3,-0.557203579,267.8640447,184.6232721,-20199.23215,-20294.33386,2.55429E-39
LMO2,1.844504098,26.68172018,102.9407924,-9800.928059,-9895.996181,2.63233E-39
CD59,0.791107119,248.3809536,434.7309067,-22591.94128,-22686.99282,2.66728E-39
GNAS,0.595038559,3164.798616,4983.634179,-45785.43049,-45880.25757,3.3236E-39
GRIN3A,-2.109605825,46.47265728,10,-1932.89135,-2027.407965,4.51143E-39
SOX4,-0.947197239,334.6954209,170.4076195,-16937.64747,-17031.89547,5.87409E-39
GABBR1,1.772594445,28.12628672,100.7780945,-9087.730138,-9181.705653,7.67783E-39
ATP8A2,2.570385699,10,60.3123845,-4360.064922,-4453.860547,9.15249E-39
DUSP1,-1.324843929,101.1051948,39.77540264,-9949.64832,-10043.29858,1.05421E-38
RPL23A,0.076969392,1177.308948,1231.785342,-33351.42409,-33444.49183,1.87574E-38
KL,-2.205387196,139.0666594,27.44305563,-6678.023375,-6771.049886,1.94797E-38
ELAVL2,-2.369913346,113.0839219,20.13259323,-5252.216883,-5344.643576,3.52612E-38
TUBA1B,-0.661123823,690.5830953,429.8952351,-28558.30176,-28650.57936,4.07669E-38
SAMD11,3.090650849,10,91.34545446,-5468.080903,-5560.244674,4.55088E-38
PLCL1,-2.735287742,69.89504197,10,-4267.213204,-4359.031548,6.39623E-38
CNIH2,0.608829056,740.9119892,1182.246543,-34748.35704,-34840.06584,7.10988E-38
C10orf10,-2.312767359,116.6152981,19.86169585,-3393.378119,-3484.989641,7.80752E-38
SYBU,2.553188475,10,61.00947984,-3943.731405,-4035.299505,8.12645E-38
ATP2B4,-2.16696197,101.6916947,21.20275615,-7395.664829,-7486.897078,1.13137E-37
RNASEK,0.425986205,998.1654576,1348.606869,-35656.73667,-35747.92988,1.1725E-37
PRDM16,-3.011494948,108.5761071,11.67993987,-4786.583761,-4877.434736,1.64277E-37
LMO4,1.598141272,32.21492057,104.2379213,-8918.158676,-9008.932332,1.76857E-37
CDH17,1.324341758,10,26.9788662,-1031.361738,-1121.793347,2.47751E-37
SLC16A3,-2.370630366,57.47542203,10,-2399.675631,-2490.090428,2.5115E-37
ISG20,-2.199058285,56.58419478,10,-1162.95066,-1253.240692,2.83455E-37
SLC9A3R1,1.142865725,132.7883265,311.4437172,-19969.06282,-20058.69258,5.44914E-37
UG0898H09,-1.616844754,32.92621686,10,-1597.493527,-1686.864584,7.02632E-37
TLE4,1.95203613,10,39.32452097,-2811.530634,-2900.786419,7.85573E-37
SPEG,1.377923155,37.15873698,99.02724263,-8880.736374,-8969.647427,1.10344E-36
SLC1A4,2.209768018,20.22204223,103.4939193,-8495.315162,-8583.527256,2.2044E-36
LRAT,-2.301368229,52.94341627,10,-2376.362555,-2464.360198,2.71874E-36
NEBL,1.950748976,27.81469791,114.9579102,-8736.130937,-8824.126057,2.71874E-36
DMKN,-2.146817963,186.3863235,37.56789554,-7852.319196,-7940.004279,3.68936E-36
TNFAIP8L1,-2.30710204,58.40484752,10,-1423.844565,-1511.374616,4.29139E-36
HINT1,0.440560256,1013.934509,1382.350522,-35456.58139,-35543.94707,5.03828E-36
S100A11,1.067518579,52.89954659,111.4319639,-11403.39362,-11490.70599,5.29677E-36
GRN,0.603494024,277.1451383,419.653573,-23529.14611,-23615.54084,1.31515E-35
RPL17,0.316159558,630.567177,796.6261256,-27918.83367,-28005.0257,1.60403E-35
TLE1,1.641109758,39.44836756,131.986226,-11321.7459,-11407.56421,2.31902E-35
WSB1,-0.610245247,946.0108198,599.4610324,-32787.60574,-32873.37287,2.43291E-35
RPS9,0.479573059,1071.90768,1515.072243,-35042.04007,-35127.64666,2.84555E-35
MAPT,1.725052792,44.34863664,155.246827,-9288.44447,-9374.046224,2.85092E-35
SLC43A3,-2.075202053,46.07469403,10,-1868.584847,-1954.154274,2.93546E-35
LRRC4C,2.098324528,10,44.47258476,-2886.644395,-2971.82513,4.30434E-35
RPS29,0.052488015,2869.014752,2944.198241,-40976.01618,-41061.19477,4.30434E-35
RPL18A,-0.453628446,1584.70493,1129.415112,-35124.88285,-35209.84028,5.34736E-35
PAX6,0.233632479,526.7434082,645.6259851,-30813.09758,-30897.66234,7.87813E-35
FN1,-2.536367616,64.72433143,10,-2216.745674,-2300.765198,1.35077E-34
RPL37A,-0.261571532,3565.582328,2928.244684,-41989.05079,-42073.00993,1.43023E-34
UCHL1,0.422328804,1060.526301,1433.626842,-36680.92778,-36764.47564,2.14647E-34
ANGPTL2,-0.99777117,22.07049607,10,-749.5580733,-832.8721718,2.70027E-34
IGSF21,-1.699302379,92.3522028,28.1638102,-5160.744851,-5243.780418,3.55154E-34
PPP2R2B,2.873907556,10,76.85389992,-4803.564592,-4886.401675,4.31392E-34
LONRF2,2.473542139,13.57352407,82.60140947,-6189.348852,-6272.125999,4.56581E-34
SLC25A53,-2.0768461,40.99052154,10,-5187.716052,-5270.432416,4.83652E-34
MMRN1,-2.129381719,44.28888926,10,-3904.521384,-3985.933447,1.76341E-33
SCN3B,1.301083304,77.45387349,203.0070994,-15435.14568,-15516.44989,1.95745E-33
SOBP,2.092034059,25.09709876,118.5894715,-9034.110882,-9114.982244,3.00133E-33
APLP1,0.466508561,575.0188856,815.7004821,-32302.47088,-32383.27612,3.19626E-33
GNAI2,0.302866802,598.4520329,750.1801552,-32069.11263,-32149.84843,3.4151E-33
CBLN1,2.02663578,25.21444009,109.4630967,-6423.152375,-6503.820209,3.64367E-33
DUSP4,-2.546134008,61.50294623,10,-3500.666985,-3581.293446,3.78613E-33
SNHG8,0.8916784,218.7732701,417.1622155,-21479.81349,-21560.36221,4.079E-33
BRI3,1.015307886,170.6450025,357.4757673,-19410.2761,-19490.80609,4.14423E-33
NELL1,2.011223776,14.04785318,56.10172767,-3995.958119,-4076.366204,4.66519E-33
RPS24,-0.087642517,1365.829881,1272.589546,-34280.7279,-34361.11437,4.75345E-33
CYB5R3,-0.70978555,677.8707949,404.988176,-27262.93331,-27343.09948,5.90085E-33
SCN7A,-2.156187906,52.15961132,10,-1295.661337,-1375.476604,8.34036E-33
TMSB15A,-2.53782314,80.09914338,12.77544847,-4073.873596,-4153.45051,1.0541E-32
LASP1,-0.973954958,406.8209649,199.1168436,-19861.47736,-19940.70691,1.48465E-32
GRIN2A,-1.507824335,90.96921823,30.93611864,-7406.409516,-7485.617705,1.51242E-32
RPSA,0.473969541,716.0178071,1013.205381,-30707.70283,-30786.8709,1.56972E-32
COL4A2,-1.867260122,36.65054257,10.16019004,-4733.38826,-4812.500623,1.6546E-32
CGNL1,-2.502815106,96.3861306,15.23045977,-4303.114562,-4382.087794,1.89486E-32
P4HA1,-1.852326238,134.8958749,34.87255483,-8241.480817,-8319.172581,6.75219E-32
GUCY1A2,1.492158182,48.74712817,145.182942,-11617.43726,-11694.85051,8.88129E-32
ATP5E,0.617535302,791.3367178,1258.018682,-34427.90032,-34504.88497,1.35604E-31
GNS,-0.849582045,494.0468159,264.3082643,-24510.54,-24587.51508,1.36536E-31
PRPH,0.847385548,24.50759262,46.81399528,-7933.000883,-8009.890847,1.48194E-31
PBX3,0.705641243,155.9269395,258.7443159,-19852.41874,-19929.26379,1.54549E-31
ABCC6,1.927194193,24.46206335,97.58082408,-6760.250863,-6836.731863,2.21316E-31
ZNF503,1.575624927,59.78140647,190.736078,-10941.37246,-11017.80331,2.32013E-31
LPAR6,-1.643622149,32.75607091,10,-1872.10312,-1948.49868,2.39665E-31
HSPA1A,-0.400148651,123.9323902,93.30447264,-14907.9783,-14984.23211,2.75192E-31
RPL31,0.161441363,1807.917716,2023.10666,-38054.67118,-38130.65287,3.59684E-31
CERS6,-1.051078106,365.6551393,168.6200805,-19972.95612,-20048.83666,3.96679E-31
CBFA2T2,-1.508685667,188.0833354,62.31615338,-11221.52731,-11297.37123,4.10311E-31
RPP25,2.500117727,10,57.7957213,-4623.13799,-4698.935978,4.28361E-31
KIF19,-1.875469817,39.36532139,10,-1831.733339,-1907.50193,4.39923E-31
PLS1,-1.965284992,83.33872818,20.52400989,-5703.941781,-5779.581678,4.98641E-31
ATP13A3,-1.38505921,185.1136825,67.6808406,-12603.45737,-12679.08293,5.04496E-31
NDRG1,0.077825196,56.8174815,54.60272542,-3543.971863,-3619.39935,6.1265E-31
RPS8,0.105901124,1216.497211,1311.828219,-33961.13526,-34036.50248,6.48799E-31
PFKFB3,-1.999592267,46.70595995,10,-1247.918514,-1323.179071,7.19489E-31
PEG10,0.960502136,226.3602692,461.051563,-22511.25217,-22586.41176,7.93385E-31
RPS6,0.285887081,1014.226072,1237.106118,-33436.7459,-33511.83867,8.457E-31
RPL15,0.123918647,2847.700108,3091.211058,-41123.87721,-41198.61672,1.19821E-30
INHA,-1.535418163,33.97647208,10,-932.5536695,-1007.142911,1.38761E-30
BTG2,-0.632736425,86.33776298,54.51091052,-11883.80097,-11958.12571,1.80005E-30
NAV2,-1.379693565,141.0890875,52.87533976,-9248.524821,-9322.838962,1.81456E-30
SEMA5A,1.502074737,23.67869073,69.98864245,-6903.025737,-6977.227911,2.02298E-30
PIPOX,1.070841087,176.3679269,391.2065068,-18858.22307,-18932.29117,2.30541E-30
SRD5A1,-1.963583754,143.710656,33.59859958,-7649.680482,-7723.672521,2.48018E-30
ATP2B1,0.393852973,326.5494603,432.3251023,-26441.2794,-26515.26706,2.48484E-30
HELZ2,-2.317998324,50.49833545,10,-4012.529319,-4086.422476,2.72264E-30
MFNG,-1.909744742,42.90098278,10,-1508.467859,-1582.136932,3.39303E-30
RPL13,0.137943771,2283.238397,2496.741456,-39648.07065,-39721.62595,3.78116E-30
RPL28,0.494149561,756.4528753,1077.530486,-32442.11801,-32515.67309,3.78116E-30
CACNA1A,-0.882674682,258.292538,138.2964941,-17658.5549,-17732.07799,3.8937E-30
RPS7,-0.100936807,1577.277636,1443.478683,-35574.41613,-35647.4804,6.12667E-30
ALCAM,-1.075349904,205.8917983,93.71334504,-16387.84994,-16460.82147,6.70152E-30
DPYSL3,-1.510960151,106.1400272,36.4505151,-7533.543932,-7606.208245,9.07059E-30
HES6,-1.42761338,100.667813,36.70309129,-8818.106079,-8890.737867,9.34571E-30
SLC6A4,1.806650646,40.16412654,159.4826349,-11614.35803,-11686.85104,1.07011E-29
RPL41,-0.018553137,5671.395247,5574.63593,-46341.96501,-46414.40949,1.12023E-29
ID3,1.746812126,22.01966128,79.50033147,-2469.138509,-2541.499029,1.21472E-29
CRTAC1,1.843216238,16.96573029,60.94178102,-4569.176014,-4641.441262,1.33175E-29
KCTD3,-1.124437732,245.8322659,108.9303579,-14814.87861,-14887.14169,1.33175E-29
RBFOX1,-1.426789792,67.09516171,25.33647789,-2900.649237,-2972.79304,1.49566E-29
CALR,-0.324213372,526.417294,422.5140489,-28231.55951,-28303.67347,1.537E-29
MFGE8,-1.16941255,23.92925998,10,-1196.74396,-1268.744348,1.71642E-29
CACNA1E,1.150418448,10,22.09707228,-2708.393578,-2780.324942,1.83385E-29
USH1C,1.240346586,98.58988143,247.1177177,-16522.45459,-16594.22936,2.13736E-29
RET,1.182820647,60.66444179,143.2183847,-6970.064438,-7041.74873,2.33279E-29
ANGPT2,-1.912896074,39.6358177,10,-2060.463268,-2132.139012,2.34715E-29
SH3BGRL,1.382869561,70.10825324,192.4764593,-12660.60157,-12732.22246,2.47272E-29
SSTR2,-1.618626318,136.364303,42.05807509,-9489.23155,-9560.628456,3.08152E-29
TEAD2,-1.433448342,30.76597209,10,-1027.018687,-1098.367353,3.22518E-29
NRCAM,1.487953197,32.49819116,94.9223664,-9216.085463,-9287.184963,4.121E-29
AMIGO2,0.797590495,102.3596776,182.3667257,-16543.15805,-16614.07017,4.95224E-29
ARL6IP1,-0.96861542,375.690424,184.7734277,-19784.09101,-19854.99902,4.961E-29
TCF4,-1.552065523,96.93218222,31.54332879,-9193.003473,-9263.894081,5.03577E-29
RPL26,-0.144992181,790.8258816,714.1933034,-28624.0547,-28694.63738,6.82118E-29
TMEFF1,-1.560917224,99.94795821,33.13689196,-7394.927402,-7465.493987,6.91514E-29
HMGCLL1,1.790371545,24.92534017,94.12157372,-9027.152586,-9097.577684,7.93996E-29
APOA2,-0.443238058,14.34367291,10,-523.6062524,-593.9217845,8.83226E-29
ACVR2B,-1.923608785,129.3930726,31.41505317,-8086.504572,-8156.754485,9.40536E-29
ITGB5,2.180232642,16.02336027,76.49173574,-4209.301244,-4279.409846,1.07975E-28
DYNLL2,0.753542076,193.7705431,329.4841936,-19347.28607,-19417.23757,1.25915E-28
MRLN,1.086648908,10,21.85607365,-1735.843465,-1805.533752,1.6283E-28
RPLP2,-0.03650685,1645.163252,1600.268825,-36190.12283,-36259.66788,1.87662E-28
RAB3B,-0.599718168,1384.62833,884.017162,-34641.01456,-34709.68822,4.44769E-28
COL6A1,-1.058453405,171.0147634,80.19431663,-14019.17409,-14087.61478,5.59244E-28
RPS3,0.219744953,1451.36688,1688.836488,-36419.52187,-36487.81352,6.46969E-28
C1GALT1,1.306073512,50.75865069,130.1414009,-11332.31683,-11400.49713,7.20971E-28
VMP1,-1.543709426,189.8832231,60.5345345,-11088.4676,-11156.13231,1.20015E-27
ZDHHC9,-2.009889213,109.4861852,25.02342909,-7379.434504,-7447.029324,1.28349E-27
F2,-0.723466349,18.3940733,10,-657.3591756,-724.6849615,1.67267E-27
LMO7,2.316652852,10,50.77183859,-4927.601885,-4994.516286,2.51069E-27
SLC7A8,0.40856755,150.1866485,202.3006743,-19627.23981,-19694.14623,2.52503E-27
AKAP12,1.730910164,25.26184933,89.85838402,-8552.010339,-8618.843246,2.71015E-27
NEAT1,-2.436986278,60.65183785,10,-2487.180142,-2553.859268,3.15011E-27
EHBP1L1,-2.110642664,46.68374519,10,-2609.981855,-2676.518964,3.61898E-27
PLTP,-1.60438236,32.34285294,10,-1675.540408,-1742.023373,3.81038E-27
GAP43,1.300636163,89.19244423,233.5528442,-11564.53978,-11630.94282,4.1159E-27
ADAMTS9,-1.42991061,28.84948527,10,-1664.114098,-1730.505774,4.15348E-27
MBNL1,1.076593605,44.87332019,95.99439953,-10832.21282,-10898.55436,4.35585E-27
S100A10,1.734638203,41.69362798,150.0981198,-8954.578009,-9020.837389,4.71564E-27
H1F0,-1.211168299,245.543856,100.7796012,-14470.93202,-14536.99427,5.72226E-27
EDARADD,1.066692408,71.17378666,156.2790967,-14486.24312,-14552.26896,5.91991E-27
RPL34,0.406425352,538.5591675,723.3006651,-27229.64359,-27295.54941,6.6544E-27
UBXN10,-1.74217897,36.55499212,10,-1498.054505,-1563.916769,6.93335E-27
HABP2,1.534256956,10,29.37547244,-2236.336093,-2302.12412,7.4321E-27
SGPL1,-0.812913188,275.4566494,152.4594536,-19588.45365,-19654.24158,7.4321E-27
PRKCA,2.795108632,10,76.38835873,-3804.01244,-3869.58503,9.18318E-27
CNN2,-1.852796969,40.83259348,10,-1397.82129,-1463.370985,9.37408E-27
PKIB,0.891122671,159.4535534,307.5513834,-20136.14471,-20201.12047,1.65339E-26
PLXDC2,2.100263411,11.21928347,53.84872349,-6898.300325,-6963.216844,1.74976E-26
ADGRG4,0.929156479,10,19.26561108,-1786.420667,-1851.178327,2.04418E-26
SEC11C,0.576664295,214.5456658,317.765949,-20215.87928,-20280.55223,2.21873E-26
DPP6,-0.71468229,440.9895459,263.9706891,-22653.00901,-22717.54388,2.53917E-26
IGSF1,0.206061294,120.7349306,136.5281228,-8495.211831,-8559.591372,2.95605E-26
ELFN1,-1.184129161,24.80644935,10,-886.7403269,-951.0921286,3.03213E-26
GNG10,0.734873196,300.9934882,514.4029906,-24753.85285,-24818.17259,3.12354E-26
CRB2,-2.427430275,73.66009037,12.50749013,-5022.931719,-5087.101948,3.61548E-26
SOX6,1.856187533,10,36.981517,-3113.223789,-3177.314238,3.90513E-26
BACH2,2.181761139,10,47.53476654,-3015.548919,-3079.347757,5.20467E-26
FAM222A,1.226085363,104.6344434,259.7775787,-15939.28052,-16003.03723,5.4155E-26
SCARB2,-0.478922028,304.287638,215.4437175,-22722.91467,-22786.59904,5.80637E-26
ASIC4,2.150817469,12.6416376,63.32073371,-7134.289545,-7197.739635,7.31069E-26
RN7SKP22,0.791943326,68.7238201,120.1065056,-13559.48625,-13622.85602,7.90068E-26
CENPV,-1.753220066,127.6085635,35.21946826,-8364.453499,-8427.784991,8.18952E-26
MAGED1,0.62080306,583.9764893,927.8734114,-31571.08236,-31634.31738,8.9935E-26
GRM1,1.785735391,10,34.60802233,-3187.142353,-3250.335808,9.35283E-26
BNIP3,-0.644934566,879.9646194,545.1541765,-29913.04439,-29975.76913,1.48598E-25
PLEKHO1,-1.80450998,97.29649213,25.96435378,-6452.203447,-6514.811513,1.6615E-25
RPS28,0.018707877,2583.559997,2587.423506,-40151.40121,-40214.00989,1.6615E-25
BACE1,-0.923630086,285.7075621,146.6571113,-17757.0289,-17819.59383,1.73058E-25
CHL1,1.350752899,10,27.72685632,-1314.753127,-1377.275166,1.80214E-25
TP53I11,-0.738834152,121.2508374,73.65230872,-12442.68789,-12505.19196,1.83082E-25
MARCKS,-0.29305683,677.8855163,561.7233222,-28810.60511,-28873.09658,1.85007E-25
ZFAS1,-0.426399302,559.6568722,406.8944374,-23739.05568,-23801.5085,1.91849E-25
DARS,-0.926200045,280.3036777,143.6244511,-16498.9491,-16561.18533,2.37354E-25
CLDN3,-1.056377001,229.2887647,106.6052598,-15587.17245,-15649.26409,2.73409E-25
RGS2,1.686933666,44.34501167,155.0735451,-9531.737814,-9593.807187,2.78951E-25
RASGRP1,-1.924673036,38.31759768,10,-3211.507469,-3273.443344,3.17811E-25
TERF2IP,0.74245324,375.9511702,654.8351725,-27633.58564,-27695.47054,3.33625E-25
BCAM,1.526664643,36.90485493,111.2583846,-9327.773723,-9389.537119,3.75606E-25
PPP1R18,-2.8277727,77.89530348,10,-4696.462147,-4757.875387,5.30539E-25
SLC35D3,-2.345366605,70.58591582,12.79630577,-4571.133794,-4632.523908,5.41765E-25
CCND2,1.17721988,34.20113857,79.72592032,-9365.005448,-9426.260706,6.18073E-25
MEX3A,-1.661385863,107.5229715,32.34278682,-7320.803242,-7381.798134,7.98619E-25
RFX3,-1.796208525,112.2730561,29.30935734,-9441.689524,-9502.589537,8.75686E-25
SDCBP,-0.879337035,267.3115895,142.4430938,-16471.01981,-16531.68385,1.10443E-24
RPL27A,0.198183553,1112.171139,1275.172652,-33966.74969,-34027.36498,1.15684E-24
RPL30,0.32446584,839.7042162,1053.74573,-32184.15066,-32244.72223,1.20573E-24
RPS16,-0.206902897,1480.463538,1259.531295,-35001.76894,-35062.19958,1.38389E-24
UGT8,1.062567386,10,23.00673973,-1005.851887,-1066.237683,1.44398E-24
PPY,-1.326315776,29.4458523,10,-551.2025254,-611.3598757,1.80764E-24
CHD7,-1.03499126,193.1944759,91.76880801,-14716.98696,-14777.09912,1.88371E-24
SH3BP4,-1.693600777,34.27814394,10,-1864.91486,-1925.026695,1.88371E-24
PRUNE2,0.947775605,108.2273837,216.0148261,-16710.15785,-16770.23554,1.9448E-24
RPL6,0.287340304,1434.443654,1774.479794,-36601.58477,-36661.33335,2.6902E-24
TSPAN1,-1.62793086,106.1163519,31.56527805,-9805.054067,-9864.643657,3.14351E-24
RPL21,0.629319194,315.0812975,502.2377496,-22558.68092,-22618.03074,3.97964E-24
SEMA3F,-1.309306867,29.00095908,10,-795.6245537,-854.8516783,4.48583E-24
CLDN5,-1.215232227,30.40570494,10,-438.5815435,-497.6779549,5.0968E-24
MAP2,0.500070806,136.6005141,194.570214,-18199.01051,-18258.08516,5.1979E-24
SLC2A2,0.399035138,10,13.66523378,-791.3767588,-850.3763705,5.5887E-24
CLEC11A,-1.700785202,145.5275917,40.74044441,-8164.772954,-8223.713892,5.91213E-24
DYNLT1,-0.569260531,373.1696646,251.5975854,-21334.69583,-21393.56724,6.30988E-24
SMARCD1,-1.083894798,122.4758991,57.40557817,-10242.29847,-10301.17175,6.30988E-24
GATM,-2.277108901,53.29863603,10,-2384.883228,-2443.61927,7.20256E-24
TGIF2,-2.04536943,44.17722601,10,-2469.309401,-2528.008615,7.45621E-24
GRIA2,1.874778601,21.48656694,85.45983265,-7446.742272,-7505.245077,9.04218E-24
FGF11,-1.742624289,33.93548818,10,-2896.949732,-2955.392053,9.58284E-24
ABCG2,-1.258090376,24.67311498,10,-1989.335397,-2047.661027,1.07379E-23
TMEM123,-2.031227131,109.114938,24.12182232,-7519.555198,-7577.781179,1.18307E-23
SLC38A3,-1.487957994,29.74842738,10,-1528.034172,-1585.972397,1.57072E-23
MARCKSL1,-0.392567127,1562.432065,1175.656121,-37262.60483,-37320.34627,1.90552E-23
PPIF,-2.6124836,79.62869698,11.43772206,-3705.948364,-3763.513143,2.26604E-23
EIF1,0.455231901,926.8515685,1290.230515,-34464.05717,-34521.5752,2.36909E-23
BAALC,-1.954702223,83.11246179,20.05619492,-4591.506781,-4648.960162,2.51749E-23
C22orf42,-1.616894067,79.85993992,24.98098978,-7229.345966,-7286.798925,2.51749E-23
TSPAN6,-2.387153504,54.89315916,10,-4462.78728,-4520.185343,2.65333E-23
RGS4,-0.785278302,133.1972597,77.96370562,-11738.11637,-11795.43893,2.84895E-23
SORL1,2.417487322,10.13261222,58.8436029,-4827.850756,-4885.175112,2.84895E-23
USP54,-2.383343387,54.07854985,10,-4048.25637,-4105.557855,2.90367E-23
PLCE1,-2.32858693,53.11535297,10,-3303.64111,-3360.874046,3.1021E-23
SSTR1,1.264440516,80.30605847,207.0855603,-14539.23335,-14596.35585,3.45462E-23
CPE,0.286548663,1162.472638,1426.322941,-37335.96932,-37392.89496,4.19135E-23
GC,2.145292981,15.20277579,72.69710879,-3502.932247,-3559.796947,4.44417E-23
SNX9,-1.229417613,237.5353177,95.09156684,-15032.84713,-15089.69871,4.49408E-23
IL20RA,-1.833559266,38.22498959,10,-2150.7557,-2207.5678,4.66484E-23
TAC3,-0.37596292,13.46947439,10,-709.7743338,-766.5327435,4.91084E-23
UNC80,1.166520976,58.96522477,137.2012882,-12098.93112,-12155.64508,5.12268E-23
TMTC4,-1.166678637,125.8374953,54.8365554,-10548.00807,-10604.40343,7.01238E-23
RPL7A,0.111588388,3193.365917,3435.44379,-42496.75841,-42553.11658,7.26241E-23
FGF18,0.721748181,10,15.64175933,-2763.091085,-2819.428991,7.39631E-23
RPS11,-0.025976171,1315.670869,1290.848861,-34481.2376,-34537.56215,7.48124E-23
LRRC10B,-1.789113526,57.40489748,16.39237431,-3906.585356,-3962.752378,8.72974E-23
RPS5,-0.136802497,1592.45735,1426.865548,-35918.84515,-35974.98193,8.9791E-23
NR2F1,-1.279549802,26.70405757,10,-1037.261719,-1093.325346,9.63693E-23
BASP1,0.526321529,606.7775651,893.1570941,-30117.59302,-30173.47078,1.15656E-22
NAA20,1.058202802,109.340286,238.6205788,-13770.90336,-13826.76952,1.16782E-22
MET,1.991083767,20.3363322,87.72009439,-6593.340754,-6649.127789,1.26083E-22
HSP90AB1,0.374786403,1210.364479,1582.606721,-36280.37389,-36336.1042,1.33135E-22
GPC2,-1.393729073,65.77664351,24.57938521,-5828.844231,-5884.453487,1.49839E-22
ABL1,-0.842807579,258.9904752,140.6631085,-14965.42236,-15020.88558,1.72865E-22
MCTP1,1.093163885,10,21.79395876,-1807.74937,-1863.129084,1.87446E-22
COX8A,0.53589024,655.6492526,975.493873,-32285.30779,-32340.51912,2.21097E-22
BCAT1,-1.962822964,47.66813527,10,-1083.942886,-1139.076264,2.38429E-22
RPL36A,-0.399406267,505.4409969,372.7942747,-22713.07877,-22768.19015,2.43252E-22
CD72,-1.318446329,28.04679811,10,-972.4370386,-1027.528178,2.47741E-22
LAMC1,-1.82814301,112.9976551,29.23056978,-7900.684621,-7955.76723,2.49402E-22
HMGB3,-1.258914265,155.5486848,62.28122453,-9882.029207,-9936.897621,3.0784E-22
DENND1B,1.508678164,21.50861198,65.35518329,-7963.730838,-8018.563214,3.1847E-22
LYPLA2,-0.852064552,261.8663362,142.1295285,-16893.70026,-16948.50281,3.27445E-22
GFRA2,0.245690355,10,11.83732254,-1121.696693,-1176.293826,4.0067E-22
BEX3,0.572251888,688.5984023,1056.849714,-31972.62371,-32027.17314,4.19333E-22
CTHRC1,-1.462313643,28.30743268,10,-1926.405692,-1980.863989,4.58159E-22
LYZ,1.937766067,13.90214024,54.75077139,-2432.42026,-2486.853411,4.68898E-22
C14orf105,1.073408839,10,21.86811411,-1616.129858,-1670.529279,4.8399E-22
CLDN18,-1.926552243,39.49081199,10,-2454.384856,-2508.715618,5.17164E-22
